filename,action_id,ground_truth_label,task_type,sid,source_caller_wav,duration_seconds
B01_01.wav,B01,replace_card,replace card,0002f70f7386445b,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0002f70f7386445b.wav,51.11
B01_02.wav,B01,replace_card,replace card,004860b1ab2e4c88,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/004860b1ab2e4c88.wav,45.15
B03_01.wav,B03,check_balance,check balance,0091a706bc604188,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0091a706bc604188.wav,51.13
B02_01.wav,B02,transfer_money,transfer money,00d676d7058c49bb,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/00d676d7058c49bb.wav,52.4
B01_03.wav,B01,replace_card,replace card,00f7dce6fc3849a2,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/00f7dce6fc3849a2.wav,39.23
B03_02.wav,B03,check_balance,check balance,010d38f5ada54e0d,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/010d38f5ada54e0d.wav,35.35
B07_01.wav,B07,schedule_appointment,schedule appointment,010eaccb7a23436f,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/010eaccb7a23436f.wav,56.42
B08_01.wav,B08,get_branch_hours,get branch hours,0126ffdce48049a9,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0126ffdce48049a9.wav,50.62
B03_03.wav,B03,check_balance,check balance,0188295665114e74,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0188295665114e74.wav,41.23
B03_04.wav,B03,check_balance,check balance,021cd80ca7cc464b,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/021cd80ca7cc464b.wav,41.21
B01_04.wav,B01,replace_card,replace card,02b03e407894474b,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/02b03e407894474b.wav,46.92
B04_01.wav,B04,order_checks,order checks,02fd023b18d246d0,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/02fd023b18d246d0.wav,49.16
B03_05.wav,B03,check_balance,check balance,0317f95f3d7441c5,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0317f95f3d7441c5.wav,59.65
B02_02.wav,B02,transfer_money,transfer money,0377245f73a54480,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0377245f73a54480.wav,53.36
B08_02.wav,B08,get_branch_hours,get branch hours,04a1020bb9bc4a45,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/04a1020bb9bc4a45.wav,50.79
B01_05.wav,B01,replace_card,replace card,04a13b358adb4eff,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/04a13b358adb4eff.wav,48.96
B07_02.wav,B07,schedule_appointment,schedule appointment,056d09d7b63046e3,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/056d09d7b63046e3.wav,52.44
B07_03.wav,B07,schedule_appointment,schedule appointment,05e4cfa661ed4215,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/05e4cfa661ed4215.wav,37.33
B06_01.wav,B06,reset_password,reset password,06a919ed8b2d47e4,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/06a919ed8b2d47e4.wav,47.28
B06_02.wav,B06,reset_password,reset password,07c275cd57b84685,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/07c275cd57b84685.wav,47.14
B08_03.wav,B08,get_branch_hours,get branch hours,07c661a60f194d1b,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/07c661a60f194d1b.wav,39.94
B04_02.wav,B04,order_checks,order checks,08b6123117f54da7,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/08b6123117f54da7.wav,52.31
B04_03.wav,B04,order_checks,order checks,08f12faa2b594aa6,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/08f12faa2b594aa6.wav,52.93
B08_04.wav,B08,get_branch_hours,get branch hours,09934a6b5cf34e49,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/09934a6b5cf34e49.wav,35.94
B07_04.wav,B07,schedule_appointment,schedule appointment,0a9e9e9be6634e38,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0a9e9e9be6634e38.wav,53.16
B08_05.wav,B08,get_branch_hours,get branch hours,0ade4b6adcf941f0,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0ade4b6adcf941f0.wav,38.62
B06_03.wav,B06,reset_password,reset password,0b41e7d162844d45,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0b41e7d162844d45.wav,50.58
B07_05.wav,B07,schedule_appointment,schedule appointment,0df279dab5a44e6c,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0df279dab5a44e6c.wav,55.96
B04_04.wav,B04,order_checks,order checks,0e2ad0dd8a6f4f83,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0e2ad0dd8a6f4f83.wav,55.61
B02_03.wav,B02,transfer_money,transfer money,0f8e8b5f72bb4594,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/0f8e8b5f72bb4594.wav,54.84
B06_04.wav,B06,reset_password,reset password,115fbdc950404a3f,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/115fbdc950404a3f.wav,56.01
B06_05.wav,B06,reset_password,reset password,1169043e6d734d82,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/1169043e6d734d82.wav,59.54
B02_04.wav,B02,transfer_money,transfer money,1292cf0c934f4ec5,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/1292cf0c934f4ec5.wav,56.42
B02_05.wav,B02,transfer_money,transfer money,1d1ad6e932d44146,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/1d1ad6e932d44146.wav,55.4
B04_05.wav,B04,order_checks,order checks,22bbed2fb6f14a78,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/22bbed2fb6f14a78.wav,55.85
B05_01.wav,B05,pay_bill,pay bill,4736468478334726,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/4736468478334726.wav,21.5
B05_02.wav,B05,pay_bill,pay bill,b0d63ed287c04649,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/b0d63ed287c04649.wav,58.6
B05_03.wav,B05,pay_bill,pay bill,b3cd48f1fc864de0,/Users/hindy/Desktop/Academics/MIT/MIT MBAn/Spring/GenAI Lab/audio-restoration-evals/data/raw/harper-valley/data/audio/caller/b3cd48f1fc864de0.wav,56.17
